,name,number,year,publisher
0,Obey Me , #1E,2019,Dynamite
1,Hack Slash vs Chaos , #4A,2018,Dynamite
2,Captain America , #9B,2018,9th Series
3,Life on Earth GN , #2-1ST,2018-,Lerner
4,Oddwell TPB , #1-1ST,2019,Starburns
5,Redlands , #12,2017,Image
6,Six Million Dollar Man , #2A,2019,Dynamite
7,Fathom , #8A,2018,Aspen
8,Van Helsing Sword Of Heaven , #6A,2018,Zenescope
9,Carson Of Venus Flames Beyond , #3A,2018,American Mythology
10,Crossover , #1,2018,Amigo
11,Green Lantern , #6A,2018,5th Series
12,Uncanny X-Men , #15C,2018,5th Series
13,Amber Blake , #1,2019,IDW
14,Domino: Hotshots , Hotshots (2019 Marvel),2019,Marvel
15,Six Million Dollar Man , #2C,2019,Dynamite
16,Champions , #4B,2018,Marvel 3rd Series
17,Uncle Scrooge , #43RI,2015,IDW
18,Obey Me , #1A,2019,Dynamite
19,Cosmic Ghost Rider Destroys Marvel History , #2A,2019,Marvel
20,Disney-Pixar Toy Story Adventures TPB , #1-1ST,2019,Dark Horse
21,War of the Realms , #1Q,2019,Marvel
22,Lady Death Apocalyptic Abyss , #2D,2018,Coffin
23,Bogart Creek TPB , #1-1ST,2019,Renegade Arts Entertainment
24,Hack Slash vs Chaos , #4C,2018,Dynamite
25,Age of X-Man Prisoner X , #2A,2019,Marvel
26,Deadworld Archives TPB , #5-1ST,2018,Caliber
27,Space Battleship Yamato HC , #1-1ST,2019,Seven Seas
28,War of the Realms , #1I,2019,Marvel
29,War of the Realms , #1Z,2019,Marvel
30,Hack Slash vs Chaos , #4G,2018,Dynamite
31,Mirror , #10,2016,
32,Betty and Veronica , #4B,2018,3rd Series
33,Star Wars Icons: Han Solo HC , Han Solo HC (2019 Insight Editions),2019,Insight Editions
34,Atomic Robo and the Dawn af a New Era , #4B,2018,IDW
35,Impossible Inc , #5,2018,IDW
36,Ghostbusters , #1RI,2019,IDW
37,War of the Realms , #1X,2019,Marvel
38,Immortal Hulk , #14C,2018,
39,Red Sonja , #3F,2019,Dynamite
40,Danger Girl Dangerous Visions 3-D , #1,2019,IDW
41,Captain America , #7D,2018,9th Series
42,Betty and Veronica , #4C,2018,3rd Series
43,Disney Frozen Reunion Road , #2A,2019,Dark Horse
44,Six Million Dollar Man , #2B,2019,Dynamite
45,Immortal Hulk , #16A,2018,
46,Star Wars , #64A,2015,Marvel
47,Wonder Woman , #67B,2016,5th Series
48,Actual Roger , #2,2018,Alterna
49,WWE NXT Takeover TPB , #1-1ST,2019,Boom Studios
50,Hack Slash vs Chaos , #4H,2018,Dynamite
51,Disney Frozen Reunion Road , #2B,2019,Dark Horse
52,Witchblade TPB , #2-1ST,2018-,Top Cow
53,Blood Realm , #1,2019,Volume 2
54,Paper Girls HC , #2-1ST,2017,Image
55,Infinity Omnibus HC , #1-1ST,2019,Marvel
56,Uncanny X-Men , #15A,2018,5th Series
57,Teen Titans TPB , #1-1ST,2019,DC
58,Wolverine Infinity Watch , #1E,2019,Mavel
59,Conan the Barbarian , #5C,2018,Marvel
60,Hack Slash vs Chaos , #4E,2018,Dynamite
61,Complete Little Nemo: 1905-1909 HC , 1905-1909 HC (2019 Taschen) By Winsor McCay,2019,Taschen
62,Van Helsing Sword Of Heaven , #6B,2018,Zenescope
63,Marvel Super Hero Adventures Spider-Man Web Designers , #1,2019,
64,Van Helsing Sword Of Heaven , #6C,2018,Zenescope
65,Daredevil , #2D,2019,7th Series
66,Robotech , #19A,2017,Titan
67,Red Sonja , #3J,2019,Dynamite
68,Tom Clancy's Division Extremis Malis , #3,2018,Dark Horse
69,Magic in this Other World is Too Far Behind GN , #2-1ST,2019,J-Novel Club
70,Marvel Masterworks Daredevil HC , #13-1ST,2003-,Marvel
71,Hellchild Blood Money , #1E,2019,Zenescope
72,Six Million Dollar Man , #2E,2019,Dynamite
73,Section Zero , #1A,2019,Image
74,War of the Realms , #1K,2019,Marvel
75,Conan the Barbarian , #5A,2018,Marvel
76,Dead Kings , #4,2018,AfterShock
77,Marvel Universe The End TPB , #1-1ST,2019,Marvel
78,Star Wars Solo , #7,2018,
79,Hack Slash vs Chaos , #4B,2018,Dynamite
80,Oberon , #3,2019,Aftershock
81,Vindication , #3,2018,Image
82,Red Sonja , #3C,2019,Dynamite
83,Vampblade , #11F,2018,Action Lab
84,Suicide Squad Black Files , #6,2017,
85,Batman and the Outsiders HC , #3-1ST,2017-2019,DC
86,Six Million Dollar Man , #2D,2019,Dynamite
87,Night Moves , #4,2018,IDW
88,Marvel Action Black Panther , #1RIB,2018,IDW
89,Champions , #4A,2018,Marvel 3rd Series
90,Major X , #1A,2019,Marvel
91,Cosmic Ghost Rider Destroys Marvel History , #2B,2019,Marvel
92,Captain America , #9A,2018,9th Series
93,Fathom , #8C,2018,Aspen
94,Amber Blake , #1RI,2019,IDW
95,Leaving Richard Valley HC , #1-1ST,2019,Drawn & Quarterly
96,War of the Realms , #1G,2019,Marvel
97,Hellchild Blood Money , #1B,2019,Zenescope
98,Die , #5A,2018,Image
99,League of Extraordinary Gentlemen Omnibus HC , #1-1ST,2019,DC/Vertigo
100,Betty and Veronica , #4A,2018,3rd Series
101,Marvel Action Black Panther , #1,2018,IDW
102,Avengers No Road Home , #2C,2019,Marvel
103,Lady Death Apocalyptic Abyss , #2C,2018,Coffin
104,Scar GN , #1-1ST,2019,Fantagraphics
105,War of the Realms , #1M,2019,Marvel
106,Hack Slash vs Chaos , #4F,2018,Dynamite
107,Curse Words Spring Has Sprung Special , #1B,2019,Image
108,Obey Me , #1D,2019,Dynamite
109,Section Zero , #1B,2019,Image
110,War of the Realms , #1F,2019,Marvel
111,Adventures of the Super Sons , #9,2018,DC
112,Ghostbusters , #1,2019,IDW
113,Deadpool , #11B,2018,5th Series
114,Conan Chronicles The Heart of Yag-Kosha TPB , #1-1ST,2019,Marvel
115,Marvel Studios Avengers Endgame Prelude TPB , #1-1ST,2019,Marvel
116,Conan the Barbarian , #5B,2018,Marvel
117,Eclipse , #14,2016,Image
118,Self Made , #5,2018,Image
119,Stray Bullets Sunshine and Roses TPB , #4-1ST,2018,Image
120,War of the Realms , #1T,2019,Marvel
121,Bart Simpson Breaks Out TPB , #1-1ST,2019,Harper Design
122,Red Sonja , #3B,2019,Dynamite
123,GI Joe A Real American Hero , #260RI,2010,IDW
124,Lodger , #4,2018,IDW
125,Transformers Unicron TPB , #1-1ST,2019,IDW
126,Young Justice , #4A,2018,3rd Series
127,Spider-Gwen Ghost Spider , #7A,2018,
128,War of the Realms , #1J,2019,Marvel
129,Harley Quinn , #60B,2016,
130,Green Lantern , #6B,2018,5th Series
131,Magic The Gathering Chandra , #2,2018,IDW
132,Story of the Phantom SC , #10-1ST,2016-,Hermes Press
133,Halo Lone Wolf , #4,2018,Dark Horse
134,My Little Pony Friendship Is Magic TPB , #16-1ST,2013-,IDW
135,LEGO Star Wars The Visual Dictionary HC , #1-1ST,2019,DK
136,Hack Slash vs Chaos , #4D,2018,Dynamite
137,Vampblade , #11D,2018,Action Lab
138,Stiletto Officer Down , #1,2019,Lion Forge
139,"If It's For My Daughter, I'd Even Defeat a Demon Lord SC ", #1-1ST,2019,A J-Novel Club Light Novel
140,Rockos Modern Afterlife , #1B,2019,Boom
141,Captain America , #6E,2018,9th Series
142,Paper Girls , #27,2015,Image
143,Batman Detective Comics TPB , #9-1ST,2017-,DC Universe Rebirth
144,Fathom , #8B,2018,Aspen
145,Bettie Page Dynamite Covers , #,2019,
146,Hellchild Blood Money , #1C,2019,Zenescope
147,Young Justice , #4B,2018,3rd Series
148,Amazing Spider-Man , #18.HU,2018,6th Series
149,Avengers No Road Home , #8A,2019,Marvel
150,Infinity War Omnibus HC , #1-1ST,2019,Marvel
151,Operatic HC , #1-1ST,2019,Groundwood Books
152,Avengers Earth's Mightiest HC Box Set , #SET#1,2019,Marvel
153,Betty and Veronica Friends Forever Pets , #1,2019,
154,Marvel Team-Up , #1A,2019,4th Series
155,Now TPB , #6-1ST,2017-,Fantagraphics
156,Peter and Ernesto The Lost Sloths HC , #1-1ST,2019,First Second Books
157,Red Sonja , #3H,2019,Dynamite
158,Star Wars Deluxe Where's the Wookiee? HC , #1-1ST,2019,Studio Fun
159,Uncle Scrooge , #43A,2015,IDW
160,Deathstroke , #42A,2016,3rd Series
161,TV Geek SC , #1-1ST,2019,Cassell
162,Female Furies , #3,2019,DC
163,Marvel Studios Character Encyclopedia HC , #1-1ST,2019,DK
164,Animosity TPB , #4-1ST,2017-,Aftershock Comics
165,Divinity , #1DOLLAR,2015,Valiant
166,War of the Realms , #1U,2019,Marvel
167,War of the Realms , #1V,2019,Marvel
168,Die Kitty Die Heaven and Hell HC , #1-1ST,2019,Chapterhouse
169,Superman Action Comics HC , #1-1ST,2019,DC
170,Immortal Hulk , #16B,2018,
171,Red Sonja , #3E,2019,Dynamite
172,Revenge of Wonderland TPB , #1-1ST,2019,Zenescope
173,Walking Dead , #190,2003,Image
174,Black Hammer 45 From the World of Black Hammer , #2A,2019,Dark Horse
175,Gasolina , #17,2017,Image
176,Vampblade , #11E,2018,Action Lab
177,Justice League , #21B,2018,DC
178,Rockos Modern Afterlife , #1A,2019,Boom
179,Unit 44 , #2,2018,Alterna
180,Adventures of Alexander von Humboldt HC , #1-1ST,2019,Pantheon Books
181,Obey Me , #1C,2019,Dynamite
182,Red Sonja , #3I,2019,Dynamite
183,Paradise Court HC , #1-1ST,2019,Zenescope
184,Avengers World TPB , #1-1ST,2019,Marvel
185,Black Hammer 45 From the World of Black Hammer , #2B,2019,Dark Horse
186,War of the Realms , #1E,2019,Marvel
187,GI Joe A Real American Hero , #260B,2010,IDW
188,Punisher , #10,2018,13th Series
189,Robotech , #19C,2017,Titan
190,Lightstep , #5,2018,Dark Horse
191,Giant Days , #49,2015,Boom
192,Flash and Green Lantern The Brave and the Bold HC , #1-1ST,2019,DC
193,Magic The Gathering Chandra , #2RI,2018,IDW
194,September Mourning TPB , #1-1ST,2019,Image
195,Avengers No Road Home , #8B,2019,Marvel
196,Domino: Hotshots , Hotshots (2019 Marvel),2019,Marvel
197,Hellchild Blood Money , #1F,2019,Zenescope
198,Justice League , #21A,2018,DC
199,Mega Man Mastermix , #4B,2018,Udon
200,War of the Realms , #1Y,2019,Marvel
201,Dark Tower The Gunslinger HC , #3-1ST,2019,Gallery 13
202,Age of X-Man Prisoner X , #2B,2019,Marvel
203,War of the Realms , #1S,2019,Marvel
204,War of the Realms , #1A,2019,Marvel
205,Hellchild Blood Money , #1D,2019,Zenescope
206,GI Joe A Real American Hero , #260A,2010,IDW
207,Lady Death Apocalyptic Abyss , #2A,2018,Coffin
208,Uncanny X-Men , #12C,2018,5th Series
209,YE TPB , #1-1ST,2019,IDW
210,Die , #5B,2018,Image
211,Storyteller Sirens , #1A,2019,Boom
212,Powers In Action , #2,2018,Action Lab
213,Kitaro Kitaro's Yokai Battles GN , #1-1ST,2019,Drawn and Quarterly
214,Carson Of Venus Flames Beyond , #3B,2018,American Mythology
215,Marvel Action Black Panther , #1RIA,2018,IDW
216,Shadowplay , #3,2018,Scout
217,Red Sonja , #3A,2019,Dynamite
218,True Believers Avengers Thanos vs. The Marvel Universe , #1,2019,
219,Monster Sized Chilling Adventures of Sabrina , #1,2019,Archie
220,Final Crisis TPB , #1-1ST,2019,DC
221,Lady Death Apocalyptic Abyss , #2B,2018,Coffin
222,War of the Realms , #1L,2019,Marvel
223,Obey Me , #1B,2019,Dynamite
224,Avengers No Road Home , #3C,2019,Marvel
225,Marvel Team-Up , #1C,2019,4th Series
226,Icymi , #3,2018,Alterna
227,Atomic Robo and the Dawn af a New Era , #4A,2018,IDW
228,How Not to Summon a Demon Lord SC , #3-1ST,2018-,J-Novel Club
229,Avengers Assemble Living Legends TPB , #1-1ST,2019,Marvel
230,Dreaming , #8,2018,DC
231,Savage Sword of Conan , #2D,2019,Marvel
232,Red Sonja , #3D,2019,Dynamite
233,War of the Realms , #1H,2019,Marvel
234,X-O Manowar , #1DOLLAR,2017,Valiant
235,Deadpool , #11A,2018,5th Series
236,Immortal Hulk , #16C,2018,
237,B and V Friends Double Digest , #269,2010,Archie
238,Feast Or Famine , #3,2018,Alterna
239,SNES Omnibus HC , #2-1ST,2018,Schiffer
240,Powers TPB , #4-1ST,2018,DC
241,Spidey Freshman Year TPB , #1-1ST,2019,Marvel
242,Adventure Time TPB , #17-1ST,2012-Present,KaBoom
243,Marvel Team-Up , #1B,2019,4th Series
244,Vampblade , #11B,2018,Action Lab
245,War of the Realms , #1W,2019,Marvel
246,Spider-Gwen Ghost Spider , #7B,2018,
247,Major X , #1B,2019,Marvel
248,Red Sonja , #3G,2019,Dynamite
249,Deathstroke , #42B,2016,3rd Series
250,Girl In The Bay , #3,2019,Dark Horse
251,War of the Realms , #1C,2019,Marvel
252,Van Helsing Sword Of Heaven , #6D,2018,Zenescope
253,War of the Realms , #1D,2019,Marvel
254,Storyteller Sirens , #1B,2019,Boom
255,War of the Realms , #1R,2019,Marvel
256,Witcher Of Flesh and Flame , #4,2018,Dark Horse
257,Robotech , #19B,2017,Titan
258,Night Moves , #4RI,2018,IDW
259,Lady Death Apocalyptic Abyss , #2E,2018,Coffin
260,Six Million Dollar Man , #2F,2019,Dynamite
261,Johnny the Homicidal Maniac , #1,2019,Amaze Ink
262,War of the Realms , #1B,2019,Marvel
263,Marvel Action Black Panther , #1RIC,2018,IDW
264,Hellchild Blood Money , #1A,2019,Zenescope
265,Vietnam Journal TPB , #5-1ST,2017,Caliber
266,Section Zero , #1C,2019,Image
267,Harley Quinn , #60A,2016,
268,Curse Words Spring Has Sprung Special , #1A,2019,Image
269,KISS/Army of Darkness TPB , #1-1ST,2019,Dynamite
270,Vampblade , #11C,2018,Action Lab
271,Carson Of Venus Flames Beyond , #3C,2018,American Mythology
272,Mega Man Mastermix , #4A,2018,Udon
273,Uncanny X-Men , #15B,2018,5th Series
274,War of the Realms , #1N,2019,Marvel
275,Bronze Age Boogie , #1,2019,Ahoy
276,True Believers Avengers Nebula , #1,2019,
277,"If It's For My Daughter, I'd Even Defeat a Demon Lord SC ", #2-1ST,2019,A J-Novel Club Light Novel
278,Vampblade , #11A,2018,Action Lab
279,Unstoppable Wasp GIRL Power TPB , #1-1ST,2019,Marvel
